Mr_ksi,H_AC_in,eps_t_microstrain,eps_c_microstrain,Nf_AI,Nd_AI,Nf_MEPDG,governing_AI
10.461538461538462,6.230769230769231,247.6300611790115,525.6189370363045,797968.614233558,655674.9142791892,15662.918933981166,rutting
10.461538461538462,6.461538461538462,238.21042163915124,502.98599092238936,906598.1531959849,798485.3176406001,18255.239045196195,rutting
10.461538461538462,6.6923076923076925,229.22423446412168,481.77920470843935,1028904.9972053614,968326.7509301335,21249.076498455062,rutting
10.461538461538462,6.923076923076923,220.65290912285556,461.8855034165824,1166391.1097311256,1169532.911644885,24700.330773353104,fatigue
10.461538461538462,7.153846153846154,212.4778941017688,443.2019571747425,1320696.788379365,1407009.3282186713,28671.702008599328,fatigue
10.461538461538462,7.384615384615385,204.6809144304589,425.63481834489335,1493609.715611327,1686294.1839733205,33233.36245293975,fatigue
10.461538461538462,7.615384615384616,197.2441264440332,409.0986415584817,1687074.487954123,2013624.6913861204,38463.6804408188,fatigue
10.461538461538462,7.846153846153847,190.15021683776496,393.51548555285103,1903202.6466590168,2396009.581839834,44450.00025175248,fatigue
10.461538461538462,8.076923076923077,183.38246412711098,378.81419296633044,2144283.2384405653,2841308.330953923,51289.48155354518,fatigue
10.461538461538462,8.307692307692308,176.9247746345358,364.9297426973058,2412793.9396084864,3358317.7919388018,59090.002479964816,fatigue
10.461538461538462,8.538461538461538,170.76170111588306,351.8026686871384,2711412.780615861,3956866.9582981123,67971.13074937902,fatigue
10.461538461538462,8.76923076923077,164.87844946132077,339.37853878014124,3043030.5108125713,4647920.622098194,78065.16758743221,fatigue
10.461538461538462,9.0,159.26087712073144,327.60748745505583,3410763.645037042,5443692.734729529,89518.26956913994,fatigue
10.461538461538462,9.23076923076923,153.89548571604166,316.4437965763172,3817968.23464525,6357770.3136787955,102491.65383912176,fatigue
10.461538461538462,9.461538461538462,148.76940951529966,305.8455187845873,4268254.405722581,7405248.771623676,117162.89249888956,fatigue
10.461538461538462,9.692307692307693,143.87040092216185,295.77413866924803,4765501.706630321,8602879.573592097,133727.30226377753,fatigue
10.461538461538462,9.923076923076923,139.18681379042087,286.19426739665846,5313875.305796247,9969231.154524323,152399.4357866712,fatigue
10.461538461538462,10.153846153846153,134.70758514629904,277.07336697902895,5917843.078869248,11524864.053852215,173414.68131947587,fatigue
10.461538461538462,10.384615384615385,130.42221575124353,268.38150084294307,6582193.622129335,13292521.246134738,197030.9776354646,fatigue
10.461538461538462,10.615384615384617,126.32074983809635,260.09110778519903,7312055.226481167,15297334.667732144,223530.6513661239,fatigue
10.461538461538462,10.846153846153847,122.39375428594764,252.1767967836477,8112915.843566188,17567048.95919958,253222.38411551042,fatigue
10.461538461538462,11.076923076923077,118.63229745201946,244.61516046252646,8990644.072593966,20132263.46165619,286443.31690430484,fatigue
10.461538461538462,11.307692307692308,115.02792784488595,237.38460529833014,9951511.193505568,23026693.522791594,323561.29966624914,fatigue
10.461538461538462,11.538461538461538,111.57265279734952,230.4651968975378,11002214.269102063,26287452.184267633,364977.2936727183,fatigue
10.461538461538462,11.76923076923077,108.25891727624132,223.8385188862201,12149900.335859094,29955353.336801823,411127.93489849457,fatigue
10.461538461538462,12.0,105.07958294842545,217.4875441285371,13402191.700340187,34075237.44180524,462488.26646463695,fatigue
11.0,3.0,421.3740513480099,1060.1930457681246,138742.972375035,28345.506708465527,1919.300257183252,rutting
11.0,3.230769230769231,408.6595848109858,999.599111867703,153462.18030098558,36890.30696737637,2166.1641556968457,rutting
11.0,3.4615384615384617,394.95698783099084,943.3124846602269,171690.90328485335,47818.90304751802,2478.4860040805556,rutting
11.0,3.6923076923076925,380.8221041992038,891.0902069212573,193569.12806643007,61706.84346613304,2862.1542846550597,rutting
11.0,3.9230769230769234,366.6220944631206,842.6653494838621,219355.81865965444,79245.4995246583,3325.5901031094218,rutting
11.0,4.153846153846154,352.59558349665514,797.7643363133609,249404.62963960052,101260.48168543218,3879.494507186955,rutting
11.0,4.384615384615385,338.89412219607436,756.1179600910849,284152.80009306915,128732.20795900887,4536.825300552174,rutting
11.0,4.615384615384615,325.61058366705987,717.4680768981049,324117.05075573205,162818.7778289737,5312.904168075541,rutting
11.0,4.846153846153847,312.7985113052392,681.5713871299516,369893.44106952875,204881.3073972327,6225.606756561983,rutting
11.0,5.076923076923077,300.4852464818889,648.2012827492108,422159.61591004353,256511.88440731843,7295.612376984543,rutting
11.0,5.307692307692308,288.68080457381353,617.1484360301321,481678.6000592883,319564.30681309296,8546.701783519671,rutting
11.0,5.538461538461538,277.38385861017485,588.2205908324397,549303.673619186,396187.77705573227,10006.09754680248,rutting
11.0,5.769230769230769,266.58576275934706,561.2418686996806,625984.0615117726,488863.7376784945,11704.844781614582,rutting
11.0,6.0,256.27325153041744,536.0517994523016,712771.2803057946,600446.053660392,13678.231791528695,rutting
11.0,6.230769230769231,246.43024650258664,512.5042154493966,810826.0484729368,734204.7738419381,15966.251242621433,rutting
