E_AC_ksi,E_BASE_ksi,eps_t_microstrain,eps_c_microstrain,Nf_AI,Nd_AI,Nf_MEPDG,governing_AI
271.4417616594907,10.608183551394482,507.69295729751155,730.0530253147027,126595.96028481273,150624.27868967727,2010.7667660627953,fatigue
293.11389644342387,10.608183551394482,482.51769478585277,706.9343989178988,140159.2896097418,173965.18977410742,2227.7034660014806,fatigue
316.51635239540985,10.608183551394482,458.3080400042543,684.1709833233617,155491.08717106772,201419.03365117387,2474.0641099672175,fatigue
341.78727978880517,10.608183551394482,435.0537873320982,661.7803590694396,172838.57304518094,233774.2321385292,2754.1423882606077,fatigue
369.07585892906616,10.608183551394482,412.7418603117643,639.778756972971,192485.6294133063,271980.1231199166,3072.9025679944225,fatigue
398.54318080063774,10.608183551394482,391.3566626599632,618.1810479168112,214758.4349499186,317181.4084857691,3436.088387172638,fatigue
430.36319802541544,10.608183551394482,370.8804110629102,597.0007410183943,240031.98659692553,370760.2424898107,3850.350163222487,fatigue
464.7237517465168,10.608183551394482,351.2934483309163,576.2499887703356,268737.649218364,434387.69866576785,4323.393192073773,fatigue
501.8276804993071,10.608183551394482,332.57453592101604,555.9395977016251,301371.89561923186,510086.7568093553,4864.151030815983,fatigue
541.8940176155999,10.608183551394482,314.7011252190257,536.0790431334259,338506.42482346133,600309.4508364565,5482.987860347807,fatigue
585.1592842296022,10.608183551394482,297.64960731163615,516.6764867027894,380799.87592373794,708031.4374681389,6191.9348296500275,fatigue
631.8788855185242,10.608183551394482,281.39554128132653,497.73879550254344,429011.3889523952,836868.0149811981,7004.966109081021,fatigue
682.32861842019,10.608183551394482,265.91386132747635,479.27156193256195,484016.3039539443,991216.5793275371,7938.321349363374,fatigue
736.8062997280774,10.608183551394482,251.17906326011268,461.2791236666684,546824.3358468084,1176431.7011827251,9010.882383979586,fatigue
795.6335241748048,10.608183551394482,237.1653711305502,443.7645834945316,618600.617080883,1399040.505371305,10244.613360507674,fatigue
859.157562882462,10.608183551394482,223.84688495588946,426.7298291769037,700690.0641828141,1667007.9153250009,11665.075084414955,fatigue
927.7534133867852,10.608183551394482,211.1977106607746,410.1755538291949,794645.6000720597,1990063.695213935,13302.026260818786,fatigue
1001.8260133369538,10.608183551394482,199.19207349707858,394.1012776938381,902260.8540395452,2380106.217545494,15190.126592497025,fatigue
1081.8126309390202,10.608183551394482,187.8044163070064,378.5053724474911,1025608.0685809276,2851701.6810078756,17369.75941857024,fatigue
1168.18544625431,10.608183551394482,177.00948406412746,363.38508938920694,1167082.0706110692,3422702.3311495683,19887.994859599363,fatigue
1261.454338590822,10.608183551394482,166.7823961573818,348.73659294975545,1329451.3184856498,4115013.3921565604,22799.718396384607,fatigue
1362.1698964422794,10.608183551394482,157.09870787399203,334.5550009376286,1515917.2211632812,4955546.286842129,26168.954604264243,fatigue
1470.926667743175,10.608183551394482,147.9344624889706,320.8344327900605,1730183.148258373,5977405.803920294,30070.42157795234,fatigue
1588.3666696268983,10.608183551394482,139.26623528419813,307.56806683308366,1976534.8173719295,7221371.815311132,34591.35863859515,fatigue
1715.1831784058381,10.608183551394482,131.07117070353544,294.7482071881251,2259934.0670365323,8737752.793159513,39833.67848523383,fatigue
1852.1248221466276,10.608183551394482,123.32701370854697,282.36636051621525,2586128.410537415,10588709.818428513,45916.50536141671,fatigue
2000.0000000000002,10.608183551394482,116.01213623993729,270.4133222928822,2961779.2302304786,12851177.427586341,52979.17344146271,fatigue
100.0,11.25335582600765,897.2743111550396,1052.5375952087365,45586.4866266214,29280.25395910172,762.3759542184321,rutting
107.98408271867898,11.25335582600765,862.3069029717483,1027.367951145841,48658.71733040184,32631.368514411486,808.3731216901583,rutting
116.60562120594504,11.25335582600765,827.9026763500955,1002.206509197703,52103.24761667626,36462.56207310693,860.419141450058,rutting
125.9155104576573,11.25335582600765,794.1255886408983,977.0813916412937,55964.17162829489,40851.94308015452,919.2161377630874,rutting
135.96870896824353,11.25335582600765,761.0326164577673,952.0207301343285,60291.76832596485,45891.54671918695,985.5721077380306,rutting
146.824563163788,11.25335582600765,728.6738516040724,927.0525064719268,65143.374332596766,51690.002719567834,1060.4160994978763,rutting
